Datalogfile:;R102_IBN_TORGUE
2016-08-02 17:14:57
Samplerate:;24.0;ms

Conditions:
1;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 1: Torque (REAL)
2;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 2: Torque (REAL)
3;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 3: Torque (REAL)
4;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 4: Torque (REAL)
5;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 5: Torque (REAL)
6;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 6: Torque (REAL)
7;No log
8;No log

No;Value 1;Value 2;Value 3;Value 4;Value 5;Value 6;Value 7;Value 8;
150;1.200724;2.800878;7.36413;-0.365569;0.5627407;-0.2744018;;;
151;1.247076;2.631608;7.166407;-0.3666014;0.5570141;-0.2801684;;;
152;1.342441;2.789611;7.602436;-0.4020833;0.5223323;-0.2747129;;;
153;1.233602;2.30955;7.442358;-0.4453736;0.5794944;-0.2701986;;;
154;1.24327;2.418635;7.675714;-0.3843138;0.5681942;-0.2727092;;;
155;1.198869;2.158917;7.493457;-0.3987712;0.4946253;-0.2787026;;;
156;1.195147;2.436026;7.603613;-0.4189908;0.571408;-0.2645997;;;
157;1.314104;2.196761;7.501525;-0.4404051;0.595127;-0.2843516;;;
158;1.203627;2.23949;7.356813;-0.4135093;0.5699082;-0.2833073;;;
159;1.235463;1.806963;7.825221;-0.4160836;0.5787656;-0.2646153;;;
160;1.17963;1.952632;7.412189;-0.4387256;0.5429122;-0.2627051;;;
161;1.162399;1.690917;7.448513;-0.4400556;0.5850057;-0.2777858;;;
162;1.317001;1.793315;7.58515;-0.4423971;0.5295177;-0.2574162;;;
163;1.224313;1.786942;7.666478;-0.4765721;0.5236264;-0.2706667;;;
164;1.270565;1.515368;7.227231;-0.4490257;0.5938863;-0.2700882;;;
165;1.305053;1.432627;7.660872;-0.4140592;0.5490886;-0.2576355;;;
166;1.202986;1.261135;7.722619;-0.4426096;0.4899137;-0.274494;;;
167;1.193374;1.304016;7.701463;-0.4606963;0.6152006;-0.267055;;;
168;1.272041;1.128586;7.411675;-0.426914;0.592076;-0.2612782;;;
169;1.240943;1.452251;7.481351;-0.4251187;0.4882192;-0.2821739;;;
170;1.298343;1.163814;7.775525;-0.463397;0.5824049;-0.2732992;;;
171;1.300251;1.121745;7.383009;-0.4613093;0.6106277;-0.2725152;;;
172;1.304661;0.7193481;7.949816;-0.4309037;0.5785453;-0.2549864;;;
173;1.329162;0.8171347;7.629941;-0.4205594;0.5395556;-0.2721284;;;
174;1.395522;0.6800063;7.285501;-0.4653668;0.6180599;-0.2340566;;;
175;1.25654;0.4635915;7.048007;-0.4159361;0.5922241;-0.2573554;;;
176;1.110697;0.09216305;6.94577;-0.4159665;0.4865929;-0.2573859;;;
177;0.931319;-0.7239746;6.832907;-0.4172035;0.532988;-0.2693404;;;
178;0.742709;-1.285763;6.219686;-0.4046748;0.5535768;-0.2512379;;;
179;0.4554609;-2.226371;5.950348;-0.3996409;0.4422044;-0.2779569;;;
180;0.4531767;-2.664656;5.680797;-0.3879009;0.4783929;-0.2249417;;;
181;0.2232709;-3.130939;5.28939;-0.344606;0.4357883;-0.2203622;;;
182;0.2208743;-3.373449;5.286129;-0.3608761;0.3871082;-0.220265;;;
183;0.04729113;-3.658053;5.108379;-0.3262851;0.363346;-0.2154447;;;
184;-0.0004952407;-3.821501;4.87406;-0.3048899;0.3622842;-0.194492;;;
185;0.06430561;-4.046548;4.876679;-0.2688135;0.3418784;-0.1837253;;;
186;-0.08050299;-4.521177;4.665139;-0.2401517;0.3291276;-0.1791962;;;
187;0.0611047;-4.461689;4.881532;-0.2365234;0.285829;-0.1576488;;;
188;0.1482355;-4.735241;4.873737;-0.210836;0.2478828;-0.1485379;;;
189;0.1790394;-4.389152;5.011577;-0.1891097;0.2025228;-0.1288281;;;
190;0.3553992;-4.380024;5.21571;-0.185993;0.1896364;-0.1238284;;;
191;0.4264286;-4.231584;5.187072;-0.166572;0.175927;-0.1169494;;;
192;0.5668293;-4.135184;5.218825;-0.1550486;0.167376;-0.1158712;;;
193;0.5640883;-4.19442;5.347085;-0.1563807;0.1563323;-0.1083976;;;
194;0.5261186;-4.309775;5.479879;-0.1489701;0.1601746;-0.1084822;;;
195;0.4539351;-4.408949;5.541805;-0.1418161;0.1520805;-0.09898035;;;
196;0.4325424;-4.426342;5.543402;-0.1294206;0.1430514;-0.09092877;;;
197;0.4432255;-4.416528;5.572264;-0.1346163;0.1395257;-0.08465594;;;
198;0.4841921;-4.390078;5.526895;-0.1241128;0.1324913;-0.08570079;;;
199;0.5001901;-4.428196;5.559337;-0.1100631;0.1330818;-0.07480948;;;
200;0.502803;-4.473492;5.572388;-0.1065176;0.135068;-0.06397555;;;
201;0.4981071;-4.544586;5.573569;-0.1046029;0.1245244;-0.06898567;;;
202;0.4810877;-4.586212;5.568188;-0.1005421;0.1150371;-0.05462843;;;
203;0.4960506;-4.62785;5.580129;-0.095449;0.1207432;-0.05315384;;;
204;0.4855819;-4.720075;5.568251;-0.08254521;0.1227899;-0.04392643;;;
205;0.4731567;-4.792368;5.553595;-0.07823522;0.1195541;-0.04871276;;;
206;0.484439;-4.809661;5.583524;-0.07296591;0.1140811;-0.0376582;;;
207;0.4865686;-4.850558;5.565349;-0.05979459;0.1149066;-0.03851387;;;
208;0.4843535;-4.8989;5.581485;-0.05540796;0.1117136;-0.03029703;;;
209;0.4893278;-4.968801;5.561825;-0.0518176;0.1021167;-0.02651789;;;
210;0.4956237;-4.970389;5.582407;-0.04542957;0.104847;-0.0127693;;;
211;0.489163;-4.978447;5.560423;-0.03940623;0.09822322;-0.01460558;;;
212;0.3544225;-5.045924;5.597401;-0.03737966;0.1017716;-0.003728315;;;
213;-0.295673;-5.040606;5.582028;-0.02234612;0.1029808;-0.005611522;;;
214;-0.8601645;-5.050551;5.587523;-0.02294827;0.09525161;-0.0007868985;;;
215;-2.089457;-4.99272;5.555282;-0.0209335;0.0931575;-0.001623458;;;
216;-3.861238;-5.057648;5.585547;-0.01569721;0.09075798;0.001033949;;;
217;-5.501215;-5.123833;5.57896;-0.005700269;0.08739711;0.01235875;;;
218;-6.54869;-5.126148;5.568515;0.001532901;0.08725319;0.01066042;;;
219;-7.308527;-5.15836;5.580727;0.003150362;0.08509851;0.02635838;;;
220;-7.739207;-5.156483;5.559595;0.02154737;0.0897562;0.02196657;;;
221;-7.764441;-5.186677;5.572489;0.01284829;0.08641344;0.03112155;;;
222;-7.789181;-5.253044;5.578426;0.0204465;0.08225682;0.02780112;;;
223;-7.988081;-5.262822;5.561804;0.02905962;0.08240633;0.02098104;;;
224;-8.220704;-5.302631;5.564099;0.02306307;0.08031967;0.025923;;;
225;-7.658691;-5.327181;5.560334;0.03761467;0.07204772;0.02985999;;;
226;-6.954768;-5.363624;5.559173;0.04032881;0.07989147;0.02988442;;;
227;-5.330438;-5.378348;5.536049;0.03862165;0.07854901;0.02840407;;;
228;-3.425531;-5.403522;5.552088;0.04444225;0.07334416;0.02502936;;;
229;-2.438088;-5.465889;5.549805;0.03490151;0.07587685;0.02790071;;;
230;-2.873176;-5.453922;5.555921;0.04452891;0.07510762;0.02819046;;;
231;-3.443711;-5.504013;5.53196;0.04619683;0.0747254;0.02967772;;;
232;-3.401291;-5.48927;5.528108;0.04896525;0.06430645;0.03329589;;;
233;-3.057889;-5.5486;5.534856;0.04326333;0.06374079;0.03017167;;;
234;-2.613347;-5.554867;5.532227;0.03854942;0.06352232;0.03387606;;;
235;-2.951289;-5.603905;5.554167;0.04437424;0.06030756;0.02632032;;;
236;-2.888019;-5.542044;5.520095;0.03966399;0.06239089;0.02636617;;;
237;-2.978365;-5.560686;5.520283;0.03610342;0.06157484;0.02984689;;;
238;-2.60311;-5.553216;5.512817;0.03695304;0.05678775;0.02705995;;;
239;-2.8263;-5.593062;5.530115;0.04213551;0.05889437;0.02684375;;;
240;-3.154481;-5.595857;5.504107;0.04482518;0.0544693;0.02679521;;;
241;-3.227083;-5.61266;5.502085;0.04929613;0.05389684;0.02273031;;;
242;-2.880278;-5.611528;5.513909;0.04546151;0.05122494;0.02951817;;;
243;-2.095801;-5.59968;5.508986;0.05117948;0.04874765;0.0192969;;;
244;-2.771228;-5.606823;5.507108;0.03740207;0.04179544;0.02738612;;;
245;-3.227043;-5.608549;5.507782;0.03757237;0.04528887;0.02199524;;;
246;-3.603517;-5.626829;5.506968;0.04170502;0.04347429;0.02272332;;;
247;-2.676739;-5.655111;5.490492;0.03422695;0.04193337;0.02398236;;;
248;-2.645643;-5.67678;5.492589;0.03047068;0.04085882;0.01603064;;;
249;-2.812217;-5.626212;5.478589;0.04249623;0.03684205;0.01826016;;;
250;-3.083015;-5.621096;5.490146;0.04340184;0.03965072;0.02453915;;;
251;-2.799622;-5.639537;5.471547;0.0419003;0.0439155;0.01942097;;;
252;-2.524756;-5.635811;5.471913;0.04205901;0.03559644;0.01885817;;;
253;-2.933152;-5.629704;5.467604;0.03991089;0.04152214;0.02188538;;;
254;-3.409892;-5.637013;5.465394;0.0443288;0.03879081;0.01623633;;;
255;-3.069443;-5.633716;5.476753;0.04211131;0.0309491;0.02341617;;;
256;-2.805054;-5.682462;5.457155;0.04244503;0.02790543;0.02323468;;;
257;-2.494564;-5.62113;5.483576;0.03767439;0.02354834;0.02136959;;;
258;-3.025344;-5.643818;5.464744;0.04059108;0.02997387;0.01665707;;;
259;-2.849822;-5.654955;5.453881;0.03688092;0.019037;0.01855903;;;
260;-3.023283;-5.669134;5.445862;0.0429131;0.02407575;0.01767606;;;
261;-2.409985;-5.638146;5.467147;0.03203606;0.01879297;0.02089883;;;
262;-2.83753;-5.636378;5.444382;0.03422924;0.02265046;0.01616322;;;
263;-3.108622;-5.620749;5.453393;0.03813865;0.01182539;0.0165706;;;
264;-3.408033;-5.633883;5.449464;0.0397924;0.01503067;0.01165218;;;
265;-2.918208;-5.640314;5.444904;0.03537036;0.02114525;0.01503309;;;
266;-2.667821;-5.63838;5.44047;0.03624219;0.01857626;0.01359054;;;
267;-2.680154;-5.630352;5.432253;0.03575997;0.01569227;0.01107823;;;
268;-3.251055;-5.613756;5.417851;0.04039422;0.01866458;0.01362938;;;
269;-3.013937;-5.619863;5.442616;0.03563906;0.01509132;0.0157895;;;
270;-2.708719;-5.639262;5.413233;0.03285289;0.01271515;0.008791957;;;
271;-2.507378;-5.70247;5.424788;0.02962425;0.009919039;0.01381622;;;
272;-3.028378;-5.635277;5.4401;0.04043822;0.01516429;0.01521347;;;
273;-3.245784;-5.604799;5.405349;0.03100894;0.01083264;0.01423445;;;
274;-3.02094;-5.623051;5.418571;0.03441013;0.01059886;0.01157463;;;
275;-2.441236;-5.64539;5.435673;0.03597207;0.01431984;0.009062831;;;
276;-2.98363;-5.608909;5.401823;0.03262325;0.007074893;0.009616205;;;
277;-3.113385;-5.590976;5.408453;0.03327475;0.008987916;0.01285333;;;
278;-3.105031;-5.599073;5.401779;0.02828652;0.003507649;0.01557758;;;
279;-2.487787;-5.646462;5.397427;0.02769528;0.009230115;0.01035571;;;
280;-2.411454;-5.617002;5.393221;0.03293307;0.003475662;0.008372224;;;
281;-3.427073;-5.611107;5.392709;0.03017756;0.0008226765;0.01557706;;;
282;-3.347833;-5.626715;5.376631;0.02844981;0.002727175;0.01244118;;;
283;-3.192704;-5.604641;5.404407;0.03214725;0.0004454611;0.004492005;;;
284;-2.425823;-5.672768;5.392102;0.03207704;0.007472335;0.0148163;;;
285;-2.853135;-5.615478;5.387273;0.02917823;0.007037031;0.007228549;;;
286;-3.193943;-5.629204;5.375664;0.02549146;0.0003438732;0.007670444;;;
287;-3.166868;-5.604679;5.371108;0.02936639;0.003859284;0.009734147;;;
288;-2.123863;-5.607042;5.374446;0.02148782;0.002921617;0.007525902;;;
289;-0.9155375;-5.591449;5.380985;0.02572135;0.00345347;0.00604488;;;
290;0.00946788;-5.578645;5.370306;0.02083366;-0.0008229078;0.01033149;;;
291;1.072975;-5.60915;5.372921;0.02997289;-0.004445835;0.007733406;;;
292;1.897483;-5.56781;5.350944;0.0150364;-0.012836;0.008041443;;;
293;3.132883;-5.472265;5.367516;0.007783895;-0.005732048;0.009923522;;;
294;3.748819;-5.424106;5.346766;-0.00379041;-0.01065356;0.007548244;;;
295;3.441596;-5.393344;5.349407;-0.01961065;-0.01099993;0.01271616;;;
296;3.66275;-5.366935;5.361153;-0.01768163;-0.01271327;0.00391103;;;
297;2.968263;-5.329185;5.347886;-0.0139361;-0.01187814;0.005937851;;;
298;2.957946;-5.32514;5.32654;-0.02607282;-0.01638232;0.0008968088;;;
299;3.202862;-5.275311;5.330791;-0.04118605;-0.009251663;-0.0006062509;;;
300;3.960369;-5.295317;5.352428;-0.03650182;-0.0201393;0.00310389;;;
301;5.305445;-5.219116;5.335922;-0.04392708;-0.01947133;0.004839121;;;
302;6.197071;-5.223071;5.343528;-0.0463053;-0.01693022;-0.001375211;;;
303;7.111625;-5.193274;5.335913;-0.05704672;-0.02740077;-0.002276888;;;
304;7.229697;-5.202635;5.328584;-0.05808594;-0.02130107;0.002155587;;;
305;7.470623;-5.176301;5.326131;-0.07305263;-0.02483177;0.001564919;;;
306;7.77045;-5.14819;5.32474;-0.06516272;-0.01465783;0.001881326;;;
307;7.978919;-5.114;5.315995;-0.08278029;-0.02902469;0.0008730103;;;
308;7.717918;-5.08742;5.310197;-0.08226305;-0.03088765;-0.006322252;;;
309;7.719075;-5.079216;5.328888;-0.08135362;-0.02466307;-0.0009050455;;;
310;7.101992;-5.109816;5.311986;-0.08627611;-0.03592612;-0.001521969;;;
311;6.140732;-5.093328;5.284597;-0.09197007;-0.02689269;-0.004609832;;;
312;4.331721;-5.095693;5.308208;-0.1028182;-0.02939213;0.0001037024;;;
313;3.193166;-5.132966;5.283087;-0.09281711;-0.02827787;-0.007182938;;;
314;2.39628;-5.093049;5.310191;-0.09210657;-0.02915625;0.004725417;;;
315;2.865488;-5.068257;5.288662;-0.09724843;-0.02980614;-0.003360754;;;
316;3.422185;-5.078119;5.294645;-0.1030006;-0.03870418;0.0004684025;;;
317;3.263086;-5.062951;5.277435;-0.1033792;-0.02545263;-0.004879155;;;
318;2.939327;-5.091911;5.293713;-0.09849904;-0.03350542;-0.003240677;;;
319;2.500102;-5.078144;5.268308;-0.108025;-0.03447338;-0.001654547;;;
320;2.426033;-5.108377;5.28418;-0.09945355;-0.03426682;0.002688885;;;
321;2.79716;-5.079867;5.276668;-0.1116994;-0.02861816;-0.004114619;;;
322;2.675041;-5.077333;5.283091;-0.1057466;-0.03469823;-0.005883717;;;
323;2.457886;-5.081314;5.286042;-0.1081191;-0.03517794;0.0002994861;;;
